station_id;station_number;name;capacity;coordinates
130;135806005;Mairie de Romainville;17;POINT(48.885109 2.435679)
131;1057302263;Place Nationale - Château-des-Rentiers;18;POINT(48.829566 2.365053)
132;1062238429;Place de l'Europe;17;POINT(48.8252985884 2.39456791431)
133;13191324;Assas - Luxembourg;33;POINT(48.8437344688 2.33342838188)
134;27415150;Bobillot - Paulin Mery;23;POINT(48.8298998417 2.35433567667)
135;391845823;Candale - Mehul;25;POINT(48.8893935006 2.41437971592)
136;312870435;Dunkerque - Trudaine;16;POINT(48.8821516677 2.34632536769)
137;100967498;Stalingrad - Rigollots;41;POINT(48.8499740384 2.45557576418)
138;58311330;Place des Droits de l'Enfant;24;POINT(48.8274804 2.3319217)
139;1057373549;Gare RER les Grésillons;22;POINT(48.9198986336 2.31458459136)
140;1062797394;Place de la Madeleine - Royale;25;POINT(48.8692280526 2.32442110777)
141;82574198;Mairie d'Issy les Moulineaux;41;POINT(48.8237677925 2.27231115103)
142;653092274;Porte de Pantin;33;POINT(48.8891997256 2.39501819015)
143;15153595;Nationale - Vincent Auriol;33;POINT(48.832527084 2.36235441039)
144;1074142878;Hôtel de Ville;0;POINT(48.809375 2.188713)
145;442739463;Place de la République - Temple;18;POINT(48.8672112019 2.36354643705)
146;1063984816;Gare du Nord - La Chapelle;18;POINT(48.8841782873 2.35610570759)
147;128878135;Village Saint-Paul;28;POINT(48.8526398666 2.3607301712)
148;1063044618;Bas - Gabriel Péri;30;POINT(48.9158558054 2.29480952024)
149;128834707;Jean-Jacques Rousseau - Deux Ecus;22;POINT(48.8629780597 2.34146352857)
150;653110858;Silly - Louis Blériot;23;POINT(48.8321904537 2.23401993513)
151;82429586;Duméril - Jeanne d'Arc;41;POINT(48.8381516081 2.35710844956)
152;54000589;Cambronne - Mademoiselle;67;POINT(48.84327733 2.30230766886)
153;74692052;Francoeur - Caulaincourt;34;POINT(48.889994441 2.34252970666)
154;66896925;Evangile - Aubervilliers;21;POINT(48.8950395419 2.36879691482)
155;80077998;Lorraine - Jean Jaurès;19;POINT(48.8863865 2.3825772)
156;54000568;Philippe-Auguste;48;POINT(48.8518534883 2.39329453558)
157;54000559;Jouffroy d'Abbans - Wagram;40;POINT(48.8819732984 2.30113215744)
158;210561800;Saint-Romain - Cherche-Midi;17;POINT(48.8470815908 2.32137478888)
159;911767210;Alexandre Parodi - Quai de Valmy;24;POINT(48.8793594194 2.36659616232)
160;82567101;Château - République;26;POINT(48.8629238006 2.4155035615)
161;50191171;Thionville - Ourcq;24;POINT(48.8891761374 2.38336533308)
162;80216231;Belidor - Gouvion-Saint-Cyr;40;POINT(48.8802215405 2.2854680568)
163;1062250686;11 Novembre 1918 - 8 Mai 1945;36;POINT(48.8088953377 2.53824211657)
164;42603855;Liège - Moscou;17;POINT(48.8795431 2.3264628)
165;129067920;Mouton Duvernet - Général Leclerc;39;POINT(48.8316325183 2.32931211591)
166;35447568;Guy Môquet - Etienne Dolet;23;POINT(48.8152700999 2.298078277)
167;210565680;Vaneau - Sèvres;35;POINT(48.8485632331 2.32042182593)
168;549480297;Halle Freyssinet - Parvis Alan Turing;23;POINT(48.8329849713 2.37130075693)
169;100859941;Raspail - Bac;52;POINT(48.8556287211 2.32566028833)
170;468843711;Saint Georges - d'Aumale;23;POINT(48.877786396 2.33742982149)
171;353462947;Richard Wallace - Place du 8 Mai 1945;30;POINT(48.8786679479 2.24203437567)
172;66491401;Fragonard - Porte de Clichy;56;POINT(48.8941556334 2.31438931078)
173;54000544;Jussieu - Fossés Saint-Bernard;33;POINT(48.84718551 2.35348585993)
174;54000571;Dugommier;55;POINT(48.8388110488 2.38965779543)
175;1062192012;Gare Rosny-Bois-Perrier;36;POINT(48.8811502334 2.48043682426)
176;217235307;Place Carnot;25;POINT(48.8559393219 2.44153171778)
177;129086648;Ceinture du Lac Inferieure - Saint-Cloud;41;POINT(48.8621807093 2.26178716868)
178;653046029;Place Valhubert;37;POINT(48.8441825773 2.36403666437)
179;214122655;Lagny - Joffre;31;POINT(48.8493068708 2.41794973612)
180;129134084;Morice - Général Leclerc;25;POINT(48.9024547198 2.31289297342)
181;427678168;Lucien Sampaix - Récollets;46;POINT(48.8743303776 2.36212290823)
182;976762284;Place du Général de Gaulle;28;POINT(48.8525288 2.4877332)
183;224589573;Michelet - Assas;18;POINT(48.8427415028 2.3350211978)
184;1057769632;Porte de Saint-Ouen - Henri Huchard;26;POINT(48.8987083664 2.32953608036)
185;27415327;Courcelles - Pierre Demours;26;POINT(48.8837697333 2.29858466343)
186;85118872;Indre - Prairies;38;POINT(48.8625439851 2.40329045802)
187;66491394;Square Saint-Ambroise;43;POINT(48.860934 2.375841)
188;82396562;Mairie du 10ème;19;POINT(48.8720894499 2.35758259892)
189;15387809;Mozart - Jasmin;62;POINT(48.8528612487 2.26848357065)
190;653059879;Gare RER;40;POINT(48.9355432425 2.34714880586)
191;213952930;Proudhon - Président Wilson;30;POINT(48.9064427635 2.35849052668)
192;1034242363;Place François Mitterand;34;POINT(48.8649278202 2.4429583177)
193;1599921040;Jessaint - Marx Dormoy;30;POINT(48.8848454311 2.35893040895)
194;365181481;Guy Môquet - Saint-Ouen;53;POINT(48.892777719 2.32703357935)
195;287096529;Paul Klee - Place Augusta Holmes;43;POINT(48.8389464174 2.3704235664)
196;27363558;Wurtz - Tolbiac;28;POINT(48.8263119562 2.34458595514)
197;129142199;Marcel Yol - Jullien;30;POINT(48.825376118 2.28723501806)
198;129079313;Commerce - Letellier;44;POINT(48.8479766037 2.29662451966)
199;210751059;Hôpital - Campo-Formio;16;POINT(48.835405 2.358218)
200;34235349;Jean Calvin - Tournefort;28;POINT(48.8415885693 2.34848957509)
201;620676855;Camille Groult - Guy Môquet;22;POINT(48.7874827465 2.39767257124)
202;101491821;Jean Moulin - Place Victor et Hélène Basch;41;POINT(48.8276491024 2.32619673014)
203;214119792;Gare RER - Malleret-Joinville;20;POINT(48.802936 2.42531)
204;42720305;Monceau - Malesherbes;38;POINT(48.8795079 2.3145456)
205;221036108;Charonne - Bureau;47;POINT(48.854176 2.396093)
206;491687415;Delizy - Louis Nadot;22;POINT(48.8962128456 2.40945786238)
207;39202840;Rochechouart - Martyrs;20;POINT(48.8821937796 2.34054956585)
208;476155906;Saint-Antoine Sévigné;26;POINT(48.8550222 2.3612322)
209;15309674;Square Montholon;21;POINT(48.8766203775 2.34576411545)
210;129083553;Porte de Saint Cloud - Parc des Princes;32;POINT(48.8386627571 2.2525164485)
211;653159330;Manufacture Nationale;28;POINT(48.828785141 2.22372226417)
212;102724418;Général Leclerc - Bièvre;25;POINT(48.7824144287 2.31666952372)
213;37848502;Pierre Brossolette - 12 Février 1934;25;POINT(48.8176291291 2.30749636889)
214;27363205;Porte de la Plaine;35;POINT(48.8280516961 2.29242771864)
215;117480156;Enfants du Paradis - Peupliers;40;POINT(48.8331226865 2.25714594126)
216;74858883;Pereire - Saussure;32;POINT(48.8882568 2.3102882)
217;653194214;Hôtel de Ville de Rueil-Malmaison;20;POINT(48.878194 2.181724)
218;39878420;Pyrénées - Dagorno;20;POINT(48.8554257707 2.4051643163)
219;210566542;Square Boucicaut;60;POINT(48.8512964337 2.32506182045)
220;123095125;Alibert - Jemmapes;60;POINT(48.871044052 2.36610446199)
221;244498842;Bois de Vincennes - Gare;50;POINT(48.8360222429 2.47083399508)
222;210740080;Gare du Nord - Hôpital Lariboisière;49;POINT(48.881949 2.352339)
223;102290754;Mairie du 17ème;24;POINT(48.8841618487 2.3220794311)
224;586539770;Marne - Germain Dardan;22;POINT(48.811542704 2.30307072401)
225;42517412;Gambetta - Saint Fargeau;24;POINT(48.8712446104 2.40390568972)
226;102314792;Etienne Jodelle - Saint Ouen;33;POINT(48.8879401639 2.32612442031)
227;213685090;Cevennes - Bergers;29;POINT(48.8424076513 2.28103771806)
228;213676294;Chevaleret - Tolbiac;21;POINT(48.82941 2.375934)
229;632007124;Lucie Aubrac - Franklin;36;POINT(48.8622391601 2.44358628988)
230;101024234;Quai Panhard et Levassor;57;POINT(48.8283748281 2.38427374581)
231;35908;Cujas - Saint-Michel;19;POINT(48.8481913486 2.34183165485)
232;213691542;Porte Maillot - Pereire;52;POINT(48.877775 2.284444)
233;214139374;Gare RER de Gentilly;30;POINT(48.8142804504 2.34103471041)
234;653042442;Place aux Étoiles;40;POINT(48.9183562941 2.35234256834)
235;129095489;Batignolles - Abel Truchet;28;POINT(48.8831039046 2.32383474909)
236;252339799;Edouard Vaillant - Paul-Adolphe Souriau;28;POINT(48.8348458588 2.24794596434)
237;129061615;Primo Levi - Frigos;34;POINT(48.8309484485 2.37965351593)
238;1988517250;Stalingrad - Henri Luisette;26;POINT(48.7836309246 2.36693594676)
239;121025345;Chabrol - d'Hauteville;11;POINT(48.877018388 2.35131796449)
240;101746493;Théâtre - Lourmel;53;POINT(48.8482070398 2.28986587375)
241;102313219;Belliard - Damrémont;34;POINT(48.8966923878 2.33802345039)
